Model,Parameters (M),Model Size (MB),Pixel Accuracy (%),mIoU (%),Inference (ms/image),Training Time (s)
fcn_resnet18,11.181,42.69,92.56,73.63,2.12,245.37
fcn_resnet34,21.289,81.28,94.35,79.85,2.57,498.36
